"Sign","Sign1","Name","Values","Values1","MesZL","ABZ/Labat","Codepoint","Values2","Values3","Path","MesZL_nu"
"𒋤","𒋤","SUD","SUD (BU gunû; ALALA2, GIDI5, MALALA, SAR4, SER, SIG13, SIR, SU3, SUG4, ŚU3, ŠIR8, ŠUD, ŠUT, ŠUṬ, ŠUZ, ZU6, ZUKU)","SUD (BU <i>gunû</i>; <font color=""#c5000b"">ALALA<sub>2</sub></font> <font color=""#878787"">(Labat: ALALA<sub>2</sub> = SUD (no. 584) and GIŠ.SUD (nos. 469+584); MesZL: ALALA<sub>2</sub> missing)</font>, <font color=""#c5000b"">GIDI<sub>5</sub></font> <font color=""#878787"">(Labat: GIDI<sub>5</sub> = SUD (no. 584) and GIŠ.SUD (nos. 469+584); MesZL: GIDI<sub>5</sub> missing)</font>, <font color=""#c5000b"">MALALA</font> <font color=""#878787"">(Labat: MALALA = SUD (no. 584) and GIŠ.SUD (nos. 469+584); MesZL: MALALA missing)</font>, SAR<sub>4</sub> <font color=""#878787"">(MesZL: ?)</font>, SER, <font color=""#c5000b"">SIG<sub>13</sub></font> <font color=""#878787"">(Labat: ?; MesZL: SIG<sub>13</sub> missing)</font>, SIR, SU<sub>3</sub>, SUG<sub>4</sub>, ŚU<sub>3</sub>, ŠIR<sub>8</sub> <font color=""#878787"">(MesZL: von Soden and Deimel ŠIT<sub>7</sub>)</font>, ŠUD, ŠUT, ŠUṬ, ŠUZ <font color=""#878787"">(MesZL: ?)</font>, ZU<sub>6</sub>, <font color=""#c5000b"">ZUKU</font> <font color=""#878787"">(Labat: ZUKU = SUD (no. 584) and GIŠ.SUD (nos. 469+584); MesZL: ZUKU missing)</font>)","584","373","U+122E4 (SUD)","SUD (BU gunû; ALALA2 (Labat: ALALA2 = SUD (no. 584) and GIŠ.SUD (nos. 469+584); MesZL: ALALA2 missing), GIDI5 (Labat: GIDI5 = SUD (no. 584) and GIŠ.SUD (nos. 469+584); MesZL: GIDI5 missing), MALALA (Labat: MALALA = SUD (no. 584) and GIŠ.SUD (nos. 469+584); MesZL: MALALA missing), SAR4 (MesZL: ?), SER, SIG13 (Labat: ?; MesZL: SIG13 missing), SIR, SU3, SUG4, ŚU3, ŠIR8 (MesZL: von Soden and Deimel ŠIT7), ŠUD, ŠUT, ŠUṬ, ŠUZ (MesZL: ?), ZU6, ZUKU (Labat: ZUKU = SUD (no. 584) and GIŠ.SUD (nos. 469+584); MesZL: ZUKU missing))","SUD (BU gunû; ALALA2, GIDI5, MALALA, SAR4, SER, SIG13, SIR, SU3, SUG4, ŚU3, SHIR8, SHUD, SHUT, SHUṬ, SHUZ, ZU6, ZUKU)","373-SUD",584
"𒆹","𒆹","SUG","SUG (LAGAB × A; A9, AʾA3, ABBAR, ABLAL2, AIA4, AMBAR, AS4, AŠTE2, BUGIN, BUNIN, ELAMKUŠ4, ELLAMKUŠ4, GUNIN2, KUNIN2, SUK, SUKU, SUQ, ŠUK3, UMUN11, ZUG, ZUK, ZUQ)","SUG (LAGAB × A; A<sub>9</sub> <font color=""#878787"">(MesZL: better AIA<sub>4</sub>)</font>, AʾA<sub>3</sub> <font color=""#878787"">(MesZL: better AIA<sub>4</sub>)</font>, ABBAR, ABLAL<sub>2</sub> <font color=""#878787"">(MesZL: to be erased)</font>, AIA<sub>4</sub>, AMBAR, AS<sub>4</sub>, AŠTE<sub>2</sub>, BUGIN, BUNIN, ELAMKUŠ<sub>4</sub>, ELLAMKUŠ<sub>4</sub>, GUNIN<sub>2</sub>, KUNIN<sub>2</sub>, SUK, <font color=""#c5000b"">SUKU</font> <font color=""#878787"">(Labat; MesZL: SUKU missing)</font>, SUQ, ŠUK<sub>3</sub> <font color=""#878787"">(MesZL: Labat differently; Labat: in index ŠUK<sub>3</sub> = LAGAB × A, but no. 512 (= MesZL: no. 787))</font>, UMUN<sub>11</sub>, ZUG <font color=""#878787"">(MesZL: Deimel and Labat differently)</font>, ZUK, ZUQ)","795","522","U+121B9 (LAGAB TIMES A)","SUG (LAGAB × A; A9 (MesZL: better AIA4), A’A3 (MesZL: better AIA4), ABBAR, ABLAL2 (MesZL: to be erased), AIA4, AMBAR, AS4, AŠTE2, BUGIN, BUNIN, ELAMKUŠ4, ELLAMKUŠ4, GUNIN2, KUNIN2, SUK, SUKU (Labat; MesZL: SUKU missing), SUQ, ŠUK3 (MesZL: Labat differently; Labat: in index ŠUK3 = LAGAB × A, but no. 512 (= MesZL: no. 787)), UMUN11, ZUG (MesZL: Deimel and Labat differently), ZUK, ZUQ)","SUG (LAGAB × A; A9, AʾA3, ABBAR, ABLAL2, AIA4, AMBAR, AS4, ASHTE2, BUGIN, BUNIN, ELAMKUSH4, ELLAMKUSH4, GUNIN2, KUNIN2, SUK, SUKU, SUQ, SHUK3, UMUN11, ZUG, ZUK, ZUQ)","522-SUG",795
"𒄗","𒄗","SUḪ₃","SUḪ3 (GU crossing GU; SAḪ4, SIḪ5, ZIḪ)","SUḪ<sub>3</sub> (GU crossing GU <font color=""#878787"">(MesZL: 892, see also 646)</font>; SAḪ<sub>4</sub>, SIḪ<sub>5</sub>, ZIḪ)","892","569","U+12117 (GU CROSSING GU)","SUḪ3 (GU crossing GU (MesZL: no. 892, see also no. 646); SAḪ4, SIḪ5, ZIḪ)","SUH3 (GU crossing GU; SAH4, SIH5, ZIH)","569-GU_cross_GU",892
"𒋦","𒋦","SUḪUR","SUḪUR (SIḪ3, SUḪ2, SUḪ3, SUMUR2, UBI2, UGAB)","SUḪUR (<font color=""#c5000b"">SIḪ<sub>3</sub></font> <font color=""#878787"">(Labat; MesZL: SIḪ<sub>3</sub> missing)</font>, SUḪ<sub>2</sub> <font color=""#878787"">(MesZL: to be erased)</font>, SUḪ<sub>3</sub> <font color=""#878787"">(MesZL: SUḪ<sub>3</sub> (892), see also SUḪUR (646))</font>, SUMUR<sub>2</sub>, UBI<sub>2</sub> <font color=""#878787"">(MesZL: Deimel and Labat UGAB)</font>, <font color=""#c5000b"">UGAB</font> <font color=""#878787"">(Labat; MesZL: UBI<sub>2</sub>, UGAB missing)</font>)","646","403","U+122E6 (SUHUR)","SUḪUR (SIḪ3 (Labat; MesZL: SIḪ3 missing), SUḪ2 (MesZL: to be erased), SUḪ3 (MesZL: SUḪ3 (no. 892) see also SUḪUR (no. 646)), SUMUR2, UBI2 (MesZL: Deimel and Labat UGAB), UGAB (Labat; MesZL: UBI2, UGAB missing))","SUHUR (SIH3, SUH2, SUH3, SUMUR2, UBI2, UGAB)","403-SUHUR",646
"𒁼","𒁼","SUḪUŠ","SUḪUŠ (DU gunû; GIM5, GIR6, GIRI6, IM5, KAS5, KIM5, SUḪ6)","SUḪUŠ (DU <i>gunû</i>; GIM<sub>5</sub>, GIR<sub>6</sub>, GIRI<sub>6</sub>, IM<sub>5</sub>, KAS<sub>5</sub>, KIM<sub>5</sub>, SUḪ<sub>6</sub>)","351","201","U+1207C (DU GUNU)","SUḪUŠ (DU gunû; GIM5, GIR6, GIRI6, IM5, KAS5, KIM5, SUḪ6)","SUHUSH (DU gunû; GIM5, GIR6, GIRI6, IM5, KAS5, KIM5, SUH6)","201-SUHUSH",351
"𒁼𒁼","𒁼𒁼","SUḪUŠ.SUḪUŠ","SUḪUŠ.SUḪUŠ (DU gunû.DU gunû; GIGRI)","SUḪUŠ.SUḪUŠ (DU <i>gunû</i>.DU <i>gunû</i>; GIGRI <font color=""#878787"">(MesZL: or GIR<sub>6</sub>.GIR<sub>6</sub>)</font>)","351+351","201+201","U+1207C & U+1207C (DU GUNU & DU GUNU)","SUḪUŠ.SUḪUŠ (DU gunû.DU gunû; GIGRI (MesZL: or GIR6.GIR6))","SUHUSH.SUHUSH (DU gunû.DU gunû; GIGRI)","–",351
"𒋧","𒋧","SUM","SUM (ARI6, SAR8, SE3, SEG10, SI3, SIG10, SIM2, SU12, SUMU, SUN3, ŚUM2, ŠE19, ŠE21, ŠU15, ŠUM2, ŠUMU2, ŠUN4, ZAR3)","SUM (ARI<sub>6</sub>, SAR<sub>8</sub>, SE<sub>3</sub>, SEG<sub>10</sub>, SI<sub>3</sub>, SIG<sub>10</sub>, SIM<sub>2</sub>, SU<sub>12</sub> <font color=""#878787"">(MesZL: opened, SU<sub>12</sub> = DIR (no. 207); ABZ: SU<sub>12</sub> = SUM (no. 292))</font>, SUMU <font color=""#878787"">(MesZL: opened)</font>, SUN<sub>3</sub>, ŚUM<sub>2</sub> <font color=""#878787"">(MesZL: to be erased)</font>, ŠE<sub>19</sub> <font color=""#878787"">(MesZL: to be erased, Labat ŠE<sub>21</sub>)</font>, <font color=""#c5000b"">ŠE<sub>21</sub></font> <font color=""#878787"">(Labat; MesZL: ŠE<sub>21</sub> = SA<sub>4</sub> (no. 138))</font>, <font color=""#c5000b"">ŠU<sub>15</sub></font> <font color=""#878787"">(Labat; MesZL: ŠU<sub>15</sub> = ZUM (no. 884))</font>, ŠUM<sub>2</sub>, ŠUMU<sub>2</sub> <font color=""#878787"">(MesZL: opened)</font>, ŠUN<sub>4</sub>, ZAR<sub>3</sub>)","292","164","U+122E7 (SUM)","SUM (ARI6, SAR8, SE3, SEG10, SI3, SIG10, SIM2, SU12 (MesZL: opened, SU12 = DIR (no. 207); ABZ: SU12 = SUM (no. 292)), SUMU (MesZL: opened), SUN3, ŚUM2 (MesZL: to be erased), ŠE19 (MesZL: to be erased, Labat ŠE21), ŠE21 (Labat; MesZL: ŠE21 = SA4 (no. 138)), ŠU15 (Labat; MesZL: ŠU15 = ZUM (no. 884)), ŠUM2, ŠUMU2 (MesZL: opened), ŠUN4, ZAR3)","SUM (ARI6, SAR8, SE3, SEG10, SI3, SIG10, SIM2, SU12, SUMU, SUN3, ŚUM2, SHE19, SHE21, SHU15, SHUM2, SHUMU2, SHUN4, ZAR3)","164-SUM",292
"𒋨","𒋨","SUMAŠ","SUMAŠ (AZU2, SUBAR2, UŠBAR4, UŠBAR4, UŠBUR4)","SUMAŠ (<font color=""#c5000b"">AZU<sub>2</sub></font> <font color=""#878787"">(Labat; MesZL: AZU<sub>2</sub> missing)</font>, <font color=""#c5000b"">SUBAR<sub>2</sub></font> <font color=""#878787"">(Labat; MesZL: SUBAR<sub>2</sub> missing)</font>, UŠBAR<sub>4</sub> <font color=""#878787"">(MesZL: to be erased)</font>, UŠBAR<sub>4</sub> <font color=""#878787"">(MesZL: to be erased)</font>, UŠBUR<sub>4</sub> <font color=""#878787"">(MesZL: to be erased)</font>)","323","182","U+122E8 (SUMASH)","SUMAŠ (AZU2 (Labat; MesZL: AZU2 missing), SUBAR2 (Labat; MesZL: SUBAR2 missing), UŠBAR4 (MesZL: to be erased), UŠBAR4 (MesZL: to be erased), UŠBUR4 (MesZL: to be erased))","SUMASH (AZU2, SUBAR2, USHBAR4, USHBAR4, USHBUR4)","182-SUMASH",323
"𒋩","𒋩","SUR","SUR (SI15, ŚUR, SURRU, ŠUR, ṬIR3)","SUR (SI<sub>15</sub> <font color=""#878787"">(MesZL: to be erased)</font>, ŚUR, <font color=""#c5000b"">SURRU</font> <font color=""#878787"">(Labat; MesZL: SURRU = SUR<sub>9</sub> (no. 205))</font>, ŠUR, ṬIR<sub>3</sub>)","151","101","U+122E9 (SUR)","SUR (SI15 (MesZL: to be erased), ŚUR, SURRU (Labat; MesZL: SURRU = SUR9 (no. 205)), ŠUR, ṬIR3)","SUR (SI15, ŚUR, SURRU, SHUR, ṬIR3)","101-SUR",151
"𒈣𒅊","𒈣𒅊","SUR₁₀","SUR10 (MA2.SIG7 and similar; SURA, SURA10, SURRU2, ZUR3)","SUR<sub>10</sub> (MA<sub>2</sub>.SIG<sub>7</sub> and similar; <font color=""#c5000b"">SURA</font> <font color=""#878787"">(Labat: also MA<sub>2</sub>.KASKAL.SIG<sub>7</sub> (no. 205); MesZL: SURA<sub>10</sub>, SURA missing)</font>, SURA<sub>10</sub> <font color=""#878787"">(MesZL: Deimel and Labat SURA)</font>, SURRU<sub>2</sub>, ZUR<sub>3</sub>)","206","122d","U+12223 & U+1214A (MA2 & IGI GUNU)","SUR10 (MA2.SIG7 and similar; SURA (Labat: also MA2.KASKAL.SIG7 (no. 205); MesZL: SURA10, SURA missing), SURA10 (MesZL: Deimel and Labat SURA), SURRU2, ZUR3)","SUR10 (MA2.SIG7 and similar; SURA, SURA10, SURRU2, ZUR3)","122-UZ-SUR9",206
"𒄮","𒄮","SUR₃","SUR3 (ḪI × AŠ, ḪI.AŠ; ḪIR5, KAZ, KAZ8, KAZAZA, MUL3, MUŠ4, UŠ17, UŠŠA, ZINANUTU, ZIZ3)","SUR<sub>3</sub> (ḪI × AŠ, ḪI.AŠ; <font color=""#c5000b"">ḪIR<sub>5</sub></font> <font color=""#878787"">(Labat; MesZL: ḪIR<sub>5</sub> missing)</font>, <font color=""#c5000b"">KAZ</font> <font color=""#878787"">(Labat; MesZL: KAZ<sub>8</sub>, KAZ missing)</font>, KAZ<sub>8</sub> <font color=""#878787"">(MesZL: Deimel and Labat KAZ)</font>, KAZAZA, MUL<sub>3</sub>, MUŠ<sub>4</sub>, UŠ<sub>17</sub>, UŠŠA, ZINANUTU, ZIZ<sub>3</sub>)","634","405","U+1212E (HI TIMES ASH)","SUR3 (ḪI × AŠ, ḪI.AŠ; ḪIR5 (Labat; MesZL: ḪIR5 missing), KAZ (Labat; MesZL: KAZ8, KAZ missing), KAZ8 (MesZL: Deimel and Labat KAZ), KAZAZA, MUL3, MUŠ4, UŠ17, UŠŠA, ZINANUTU, ZIZ3)","SUR3 (HI × ASH, HI.ASH; HIR5, KAZ, KAZ8, KAZAZA, MUL3, MUSH4, USH17, USHSHA, ZINANUTU, ZIZ3)","405-SUR3",634
"𒋪","𒋪","SUR₉","SUR9 (MA2.KASKAL.SIG7 and similar; SURA, SURA9, SURRU, ZUR2)","SUR<sub>9</sub> (MA<sub>2</sub>.KASKAL.SIG<sub>7</sub> and similar; <font color=""#c5000b"">SURA</font> <font color=""#878787"">(Labat: also MA<sub>2</sub>.SIG<sub>7</sub> (no. 206); MesZL: SURA<sub>9</sub>, SURA missing)</font>, SURA<sub>9</sub> <font color=""#878787"">(MesZL: Deimel and Labat SURA)</font>, SURRU, ZUR<sub>2</sub>)","205","122d","U+122EA (SUR9)","SUR9 (MA2.KASKAL.SIG7 and similar; SURA (Labat: also MA2.SIG7 (no. 206); MesZL: SURA9, SURA missing), SURA9 (MesZL: Deimel and Labat SURA), SURRU, ZUR2)","SUR9 (MA2.KASKAL.SIG7 and similar; SURA, SURA9, SURRU, ZUR2)","122-UZ-SUR9",205
"𒊭","𒊭","ŠA","ŠA (ARA, EN8, LI5, NA5, SA20, ZUR8)","ŠA (ARA, EN<sub>8</sub>, LI<sub>5</sub> <font color=""#878787"">(MesZL: Deimel and Labat differently)</font>, NA<sub>5</sub>, SA<sub>20</sub>, ZUR<sub>8</sub> <font color=""#878787"">(MesZL: ŠA (566) and KA × KAR<sub>2</sub> (33))</font>)","566","353","U+122AD (SHA)","ŠA (ARA, EN8, LI5 (MesZL: Deimel and Labat differently), NA5, SA20, ZUR8 (MesZL: ŠA (no. 566) and KA × KAR2 (no. 33)))","SHA (ARA, EN8, LI5, NA5, SA20, ZUR8)","353-SHA",566
"𒊮","𒊮","ŠA₃","ŠA3 (GUBLA, LIB3, LIP3, SA19, ŠAB2, ŠAG4)","ŠA<sub>3</sub> (<font color=""#c5000b"">GUBLA</font> <font color=""#878787"">(Labat; MesZL: GUBLA missing)</font>, LIB<sub>3</sub>, LIP<sub>3</sub>, SA<sub>19</sub>, <font color=""#c5000b"">ŠAB<sub>2</sub></font> <font color=""#878787"">(Labat; MesZL: ŠAB<sub>2</sub> missing)</font>, ŠAG<sub>4</sub>)","599","384","U+122AE (SHA3)","ŠA3 (GUBLA (Labat; MesZL: GUBLA missing), LIB3, LIP3, SA19, ŠAB2 (Labat; MesZL: ŠAB2 missing), ŠAG4)","SHA3 (GUBLA, LIB3, LIP3, SA19, SHAB2, SHAG4)","384-SHA3",599
"𒊰","𒊰","ŠA₃ × BAD","ŠA3 × BAD (ḪABRUD3, ḪABRUDA3, NANAM2)","ŠA<sub>3</sub> × BAD (ḪABRUD<sub>3</sub>, ḪABRUDA<sub>3</sub>, NANAM<sub>2</sub>)","600","384n","U+122B0 (SHA3 TIMES BAD)","ŠA3 × BAD (ḪABRUD3, ḪABRUDA3, NANAM2)","SHA3 × BAD (HABRUD3, HABRUDA3, NANAM2)","–",600
"𒊱","𒊱","ŠA₃ × GIŠ","ŠA3 × GIŠ","ŠA<sub>3</sub> × GIŠ","603","385n","U+122B1 (SHA3 TIMES GISH)","ŠA3 × GIŠ","SHA3 × GISH","–",603
"𒊮 × 𒈪","𒊮<font face = ""TeX Gyre Heros"" color = ""#ffffff""> × </font>𒈪","ŠA₃ × MI","ŠA3 × MI","ŠA<sub>3</sub> × MI","607","387","–","ŠA3 × MI","SHA3 × MI","387-SHA3xMI",607
"𒊲","𒊲","ŠA₃ × NE","ŠA3 × NE (NANAM, NENIM, NINIM)","ŠA<sub>3</sub> × NE (NANAM, NENIM, NINIM)","602","385","U+122B2 (SHA3 TIMES NE)","ŠA3 × NE (NANAM, NENIM, NINIM)","SHA3 × NE (NANAM, NENIM, NINIM)","385-NANAM",602
"𒊳","𒊳","ŠA₃ × ŠU₂","ŠA3 × ŠU2 (GUDU5)","ŠA<sub>3</sub> × ŠU<sub>2</sub> (GUDU<sub>5</sub>)","609","389","U+122B3 (SHA3 TIMES SHU2)","ŠA3 × ŠU2 (GUDU5)","SHA3 × SHU2 (GUDU5)","389-GUDU5",609
"𒊴","𒊴","ŠA₃ × TUR","ŠA3 × TUR (PEŠ13)","ŠA<sub>3</sub> × TUR (PEŠ<sub>13</sub>)","601","384a","U+122B4 (SHA3 TIMES TUR)","ŠA3 × TUR (PEŠ13)","SHA3 × TUR (PESH13)","–",601
"𒊵","𒊵","ŠA₃ × U","ŠA3 × U (ḪABRUD4, ḪABRUDA4)","ŠA<sub>3</sub> × U (ḪABRUD<sub>4</sub>, ḪABRUDA<sub>4</sub>)","605","386n","U+122B5 (SHA3 TIMES U)","ŠA3 × U (ḪABRUD4, ḪABRUDA4)","SHA3 × U (HABRUD4, HABRUDA4)","–",605
"𒊶","𒊶","ŠA₃ × U.A","ŠA3 × U.A (BIR6)","ŠA<sub>3</sub> × U.A (BIR<sub>6</sub>)","606","388","U+122B6 (SHA3 TIMES U PLUS A)","ŠA3 × U.A (BIR6)","SHA3 × U.A (BIR6)","388-BIR6",606
"𒊮 × 𒌓","𒊮<font face = ""TeX Gyre Heros"" color = ""#ffffff""> × </font>𒌓","ŠA₃ × UD","ŠA3 × UD","ŠA<sub>3</sub> × UD","604","386","–","ŠA3 × UD","SHA3 × UD","386-SHA3xUD",604
"𒊮𒁹","𒊮𒁹","ŠA₃.DIŠ","ŠA3.DIŠ (LIDDA2)","ŠA<sub>3</sub>.DIŠ (LIDDA<sub>2</sub>)","599+748","384+480","U+122AE & U+12079 (SHA3 & DISH)","ŠA3.DIŠ (LIDDA2)","SHA3.DISH (LIDDA2)","–",599
"𒊮𒄀","𒊮𒄀","ŠA₃.GI","ŠA3.GI (ANZALUB, ḪANZALUB)","ŠA<sub>3</sub>.GI (ANZALUB <font color=""#878787"">(MesZL: ?, cf. ḪANZALUB)</font>, ḪANZALUB <font color=""#878787"">(MesZL: ?, cf. ANZALUB)</font>)","599+141","384+085","U+122AE & U+12100 (SHA3 & GI)","ŠA3.GI (ANZALUB (MesZL: ?, cf. ḪANZALUB), ḪANZALUB (MesZL: ?, cf. ANZALUB))","SHA3.GI (ANZALUB, HANZALUB)","–",599
"𒊮𒆸","𒊮𒆸","ŠA₃.LAGAB","ŠA3.LAGAB (IŠḪARA2)","ŠA<sub>3</sub>.LAGAB (IŠḪARA<sub>2</sub>)","599+755","384+483","U+122AE & U+121B8 (SHA3 & LAGAB)","ŠA3.LAGAB (IŠḪARA2)","SHA3.LAGAB (ISHHARA2)","–",599
"𒊮𒈫𒁲","𒊮𒈫𒁲","ŠA₃.MIN.DI","ŠA3.MIN.DI (TIGIDLA3, TIBULA3)","ŠA<sub>3</sub>.MIN.DI (TIGIDLA<sub>3</sub>, TIBULA<sub>3</sub> <font color=""#878787"">(MesZL: read TIGIDLA<sub>3</sub>)</font>)","599+825+736","384+570+457","U+122AE & U+1222B &U+12072 (SHA3 & MIN & DI)","ŠA3.MIN.DI (TIGIDLA3, TIBULA3 (MesZL: read TIGIDLA3))","SHA3.MIN.DI (TIGIDLA3, TIBULA3)","–",599
"𒊮𒈫𒆜","𒊮𒈫𒆜","ŠA₃.MIN.KASKAL","ŠA3.MIN.KASKAL (TIGIDLA2, TIBULA2)","ŠA<sub>3</sub>.MIN.KASKAL (TIGIDLA<sub>2</sub>, TIBULA<sub>2</sub> <font color=""#878787"">(MesZL: read TIGIDLA<sub>2</sub>)</font>)","599+825+302","384+570+166","U+122AE & U+1222B &U+1219C (SHA3 & MIN & KASKAL)","ŠA3.MIN.KASKAL (TIGIDLA2, TIBULA2 (MesZL: read TIGIDLA2))","SHA3.MIN.KASKAL (TIGIDLA2, TIBULA2)","–",599
"𒊮𒈫𒋻","𒊮𒈫𒋻","ŠA₃.MIN.TAR","ŠA3.MIN.TAR (TIBULA, TIGIDLA)","ŠA<sub>3</sub>.MIN.TAR (TIBULA <font color=""#878787"">(MesZL: read TIGIDLA)</font>, TIGIDLA)","599+825+009","384+570+012","U+122AE & U+1222B & U+122FB (SHA3 & MIN & TAR)","ŠA3.MIN.TAR (TIBULA (MesZL: read TIGIDLA), TIGIDLA)","SHA3.MIN.TAR (TIBULA, TIGIDLA)","–",599
"𒊮𒊬","𒊮𒊬","ŠA₃.SAR","ŠA3.SAR (ŠALAMBI)","ŠA<sub>3</sub>.SAR (ŠALAMBI <font color=""#878787"">(MesZL: or ŠA<sub>3</sub>.LAMBI)</font>)","599+541","384+331 (ABZ), 384+152 (Labat)","U+122AE & U+122AC (SHA3 & SAR)","ŠA3.SAR (ŠALAMBI (MesZL: or ŠA3.LAMBI))","SHA3.SAR (SHALAMBI)","–",599
"𒉺𒅁","𒉺𒅁","ŠAB","ŠAB (PA.IB; SAB, SAP, SIP4, SIPA2, ŠABA, ŠAP, ŠIB3, ŠIP3, ŠUB3, ŠUP3)","ŠAB (PA.IB; SAB, SAP, SIP<sub>4</sub> <font color=""#878787"">(MesZL: ?)</font>, SIPA<sub>2</sub> <font color=""#878787"">(MesZL: nos. 466 and 554)</font>, ŠABA, ŠAP, ŠIB<sub>3</sub> <font color=""#878787"">(MesZL: ?)</font>, ŠIP<sub>3</sub> <font color=""#878787"">(MesZL: ?, Labat differently)</font>, ŠUB<sub>3</sub>, ŠUP<sub>3</sub> <font color=""#878787"">(MesZL: Labat differently)</font>)","466","295k","U+1227A & U+12141 (PA & IB)","ŠAB (PA.IB; SAB, SAP, SIP4 (MesZL: ?), SIPA2 (MesZL: nos. 466 and 554), ŠABA, ŠAP, ŠIB3 (MesZL: ?), ŠIP3 (MesZL: ?, Labat differently), ŠUB3, ŠUP3 (MesZL: Labat differently))","SHAB (PA.IB; SAB, SAP, SIP4, SIPA2, SHABA, SHAP, SHIB3, SHIP3, SHUB3, SHUP3)","–",466
"𒊸","𒊸","ŠAB₆","ŠAB6","ŠAB<sub>6</sub> <font color=""#878787"">(ABZ: Elamite, <a href=""https://oi.uchicago.edu/research/publications/oip/persepolis-fortification-tablets"">OIP 92</a>, p. 86; KŠ: in MesZL ŠAB<sub>6</sub> missing)</font>","252? (sign I)","142? (sign I)","U+122B8 (SHAB6)","ŠAB6 (ABZ: Elamite, OIP 92, p. 86; KŠ: in MesZL ŠAB6 missing)","SHAB6","–",252
"𒉺𒀠","𒉺𒀠","ŠABRA","ŠABRA (PA.AL; ŠAPRA)","ŠABRA (PA.AL; ŠAPRA)","464+474","295f (295+298)","U+1227A & U+12020 (PA & AL)","ŠABRA (PA.AL; ŠAPRA)","SHABRA (PA.AL; SHAPRA)","–",464
"𒌋𒃶","𒌋𒃶","ŠAGAN","ŠAGAN (U.GAN, ŠU4.GAN; SAMAN4, ŠAKAN, ŠAMAN2)","ŠAGAN (U.GAN, ŠU<sub>4</sub>.GAN; SAMAN<sub>4</sub>, ŠAKAN, ŠAMAN<sub>2</sub>)","684","428","U+1230B & U+120F6 (U & GAN)","ŠAGAN (U.GAN, ŠU4.GAN; SAMAN4, ŠAKAN, ŠAMAN2)","SHAGAN (U.GAN, SHU4.GAN; SAMAN4, SHAKAN, SHAMAN2)","428-SHAGAN",684
"𒋚","𒋚","ŠAḪ","ŠAḪ (SAḪ2, SEḪ, SIḪ, ṢAḪ2, ṢEḪ, ṢIḪ, ŠAḪA, ŠEḪ, ŠIḪ, ŠUḪ2)","ŠAḪ (SAḪ<sub>2</sub>, SEḪ, SIḪ, <font color=""#c5000b"">ṢAḪ<sub>2</sub></font> <font color=""#878787"">(Labat; MesZL: ṢAḪ<sub>2</sub> = KID (484))</font>, ṢEḪ <font color=""#878787"">(MesZL: Labat ṢIḪ<sub>2</sub>; Labat: in index as well as in syllabary ṢEḪ, ṢEḪ<sub>2</sub> = NE (313))</font>, ṢIḪ <font color=""#878787"">(MesZL: Labat ṢIḪ<sub>2</sub>; Labat: in index ṢIḪ and ṢIḪ<sub>2</sub> missing)</font>, ŠAḪA, ŠEḪ, ŠIḪ, ŠUḪ<sub>2</sub>)","023","053","U+122DA (SHUBUR)","ŠAḪ (SAḪ2, SEḪ, SIḪ, ṢAḪ2 (Labat; MesZL: ṢAḪ2 = KID (no. 484)), ṢEḪ (MesZL: Labat ṢIḪ2; Labat: in index as well as in syllabary ṢEḪ, ṢEḪ2 = NE (no. 313)), ṢIḪ (MesZL: Labat ṢIḪ2; Labat: in index ṢIḪ and ṢIḪ2 missing), ŠAḪA, ŠEḪ, ŠIḪ, ŠUḪ2)","SHAH (SAH2, SEH, SIH, ṢAH2, ṢEH, ṢIH, SHAHA, SHEH, SHIH, SHUH2)","053-SHAH-SHUBUR",23
"𒑛","𒑛","ŠANABI","ŠANABI (2/3, ŠANABA)","ŠANABI (2/3, ŠANABA)","832","572","U+1245B (NUMERIC SIGN TWO THIRDS DISH)","ŠANABI (2/3, ŠANABA)","SHANABI (2/3, SHANABA)","572-SHANABI",832
"𒊹","𒊹","ŠAR₂","ŠAR2 (3600, KUGU, SAR2, ŚAR2, ŠA13, ŠAD3, ŠARA6, ZEZE)","ŠAR<sub>2</sub> (3600, KUGU <font color=""#878787"">(MesZL: or ḪI (no. 631))</font>, SAR<sub>2</sub>, ŚAR<sub>2</sub> <font color=""#878787"">(MesZL: ?, 632 and 541)</font>, ŠA<sub>13</sub> <font color=""#878787"">(MesZL: with Deimel, ABZ to be corrected)</font>, <font color=""#c5000b"">ŠAD<sub>3</sub></font> <font color=""#878787"">(Labat: ?; MesZL: ŠAD<sub>3</sub> = NIG<sub>2</sub> (no. 859))</font>, ŠARA<sub>6</sub> <font color=""#878787"">(MesZL: instead of Deimel's ŠAD<sub>2</sub> = Labat ŠAD<sub>3</sub>)</font>, <font color=""#c5000b"">ZEZE</font> <font color=""#878787"">(Labat; MesZL: ZEZE missing)</font>)","632","396","U+122B9 (SHAR2)","ŠAR2 (3600, KUGU (MesZL: or ḪI (no. 631)), SAR2, ŚAR2 (MesZL: ?, 632 and 541), ŠA13 (MesZL: with Deimel, ABZ to be corrected), ŠAD3 (Labat: ?; MesZL: ŠAD3 = NIG2 (no. 859)), ŠARA6 (MesZL: instead of Deimel's ŠAD2 = Labat ŠAD3), ZEZE (Labat; MesZL: ZEZE missing))","SHAR2 (3600, KUGU, SAR2, ŚAR2, SHA13, SHAD3, SHARA6, ZEZE)","396-HI-SHAR2",632
